"filename", "language", "JavaScript", "SCSS", "XML", "CSS", "JSON", "HTML", "Markdown", "comment", "blank", "total"
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 38, 0, 33, 71
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/assets/images/Logo.svg", "XML", 0, 0, 44, 0, 0, 0, 0, 0, 1, 45
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/package-lock.json", "JSON", 0, 0, 0, 0, 36719, 0, 0, 0, 1, 36720
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/package.json", "JSON", 0, 0, 0, 0, 44, 0, 0, 0, 1, 45
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/public/index.html", "HTML", 0, 0, 0, 0, 0, 19, 0, 27, 3, 49
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/public/manifest.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 0, 1, 26
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/App.js", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 0, 6, 71
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/App.scss", "SCSS", 0, 49, 0, 0, 0, 0, 0, 1, 14, 64
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/App.test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/component-svgs/facebook.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/component-svgs/highlight.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 2, 22
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/component-svgs/instagram.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/component-svgs/logo.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 3, 53
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/components/container/container.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/components/container/container.scss", "SCSS", 0, 21, 0, 0, 0, 0, 0, 0, 4, 25
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/components/custom-button/custom-button.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 4, 12
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/components/custom-button/custom-button.scss", "SCSS", 0, 48, 0, 0, 0, 0, 0, 0, 9, 57
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/components/footer/footer-form/footer-form.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/components/footer/footer-form/footer-form.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/components/footer/footer.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 4, 40
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/components/footer/footer.scss", "SCSS", 0, 61, 0, 0, 0, 0, 0, 0, 16, 77
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/components/header/header.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 9, 49
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/components/header/header.scss", "SCSS", 0, 41, 0, 0, 0, 0, 0, 0, 6, 47
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/components/logo/logo.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/components/logo/logo.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/components/menu-item/menu-item.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 5, 36
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/components/menu-item/menu-item.scss", "SCSS", 0, 29, 0, 0, 0, 0, 0, 0, 7, 36
