"filename", "language", "SCSS", "JSON", "Markdown", "JavaScript", "XML", "CSS", "HTML", "comment", "blank", "total"
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 0, 33, 71
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/assets/images/Logo.svg", "XML", 0, 0, 0, 0, 44, 0, 0, 0, 1, 45
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/package-lock.json", "JSON", 0, 34368, 0, 0, 0, 0, 0, 0, 1, 34369
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/package.json", "JSON", 0, 55, 0, 0, 0, 0, 0, 0, 1, 56
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/public/index.html", "HTML", 0, 0, 0, 0, 0, 0, 19, 27, 3, 49
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/public/manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/App.js", "JavaScript", 0, 0, 0, 82, 0, 0, 0, 6, 6, 94
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/App.scss", "SCSS", 54, 0, 0, 0, 0, 0, 0, 1, 15, 70
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/App.test.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/component-svgs/email-icon.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 1, 3, 20
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/component-svgs/facebook.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/component-svgs/green-numbers/1.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/component-svgs/green-numbers/2.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/component-svgs/green-numbers/3.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/component-svgs/highlight.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 2, 22
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/component-svgs/instagram.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/component-svgs/logo.js", "JavaScript", 0, 0, 0, 50, 0, 0, 0, 0, 3, 53
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/component-svgs/workshop-info/blobs.js", "JavaScript", 0, 0, 0, 28, 0, 0, 0, 0, 4, 32
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/component-svgs/workshop-info/blobs.scss", "SCSS", 19, 0, 0, 0, 0, 0, 0, 1, 2, 22
